timestamp_utc,power_w,util_gpu_pct,util_mem_pct,sm_clock_mhz,mem_clock_mhz,mem_used_mib,mem_total_mib,pcie_rx_mbs,pcie_tx_mbs
2026-06-28T20:50:41Z,34.09,10,16,847,405,4142,16303,0,0
2026-06-28T20:50:41Z,35.87,6,1,1222,13801,4142,16303,0,0
2026-06-28T20:50:42Z,43.05,2,1,2535,13801,4142,16303,0,0
2026-06-28T20:50:42Z,48.22,1,1,2535,13801,4142,16303,0,0
2026-06-28T20:50:43Z,47.65,0,1,2505,13801,4167,16303,0,0
2026-06-28T20:50:43Z,47.77,3,1,2490,13801,11643,16303,0,0
2026-06-28T20:50:44Z,49.09,3,1,2490,13801,11643,16303,0,0
2026-06-28T20:50:45Z,48.94,3,1,2497,13801,11643,16303,0,0
2026-06-28T20:50:45Z,47.61,3,1,2497,13801,11643,16303,0,0
2026-06-28T20:50:46Z,47.49,3,1,2497,13801,11643,16303,0,0
2026-06-28T20:50:46Z,47.35,3,1,2490,13801,11643,16303,0,0
2026-06-28T20:50:47Z,47.57,2,1,2497,13801,11643,16303,0,0
2026-06-28T20:50:47Z,47.73,2,1,2497,13801,11643,16303,0,0
2026-06-28T20:50:48Z,47.34,0,1,2490,13801,11643,16303,0,0
2026-06-28T20:50:49Z,47.12,0,1,2490,13801,11643,16303,0,0
2026-06-28T20:50:49Z,47.37,0,1,2512,13801,11643,16303,0,0
2026-06-28T20:50:50Z,47.12,0,1,2497,13801,11643,16303,0,0
2026-06-28T20:50:50Z,43.80,1,1,1822,7001,11643,16303,0,0
2026-06-28T20:50:51Z,38.37,3,1,660,7001,11643,16303,0,0
2026-06-28T20:50:51Z,34.10,1,7,570,810,11643,16303,0,0
2026-06-28T20:50:52Z,30.86,2,8,532,810,11643,16303,0,0
2026-06-28T20:50:52Z,28.20,1,11,412,810,11643,16303,0,0
2026-06-28T20:50:53Z,27.25,2,10,345,810,11643,16303,0,0
2026-06-28T20:50:54Z,27.44,3,10,495,810,11643,16303,0,0
2026-06-28T20:50:54Z,27.00,0,20,412,405,11643,16303,0,0
2026-06-28T20:50:55Z,27.25,2,21,570,405,11643,16303,0,0
2026-06-28T20:50:55Z,27.20,5,18,330,405,11643,16303,0,0
2026-06-28T20:50:56Z,27.15,4,16,397,405,11643,16303,0,0
2026-06-28T20:50:57Z,27.03,1,15,337,405,11643,16303,0,0
2026-06-28T20:50:57Z,26.57,4,22,315,405,11646,16303,0,0
2026-06-28T20:50:58Z,26.48,4,22,330,405,11646,16303,0,0
2026-06-28T20:50:58Z,26.38,1,14,307,405,11643,16303,0,0
2026-06-28T20:50:59Z,26.51,4,22,322,405,11643,16303,0,0
2026-06-28T20:50:59Z,26.40,1,26,285,405,11643,16303,0,0
2026-06-28T20:51:00Z,26.48,3,20,337,405,11643,16303,0,0
2026-06-28T20:51:01Z,26.49,1,25,337,405,11643,16303,0,0
2026-06-28T20:51:01Z,26.34,2,19,307,405,11643,16303,0,0
2026-06-28T20:51:02Z,28.36,3,18,570,405,11643,16303,0,0
2026-06-28T20:51:02Z,27.22,0,20,307,405,11643,16303,0,0
2026-06-28T20:51:03Z,26.44,3,18,375,405,11643,16303,0,0
2026-06-28T20:51:03Z,26.29,0,16,292,405,11643,16303,0,0
2026-06-28T20:51:04Z,26.81,2,19,495,405,11643,16303,0,0
2026-06-28T20:51:05Z,26.79,1,17,337,405,11646,16303,0,0
2026-06-28T20:51:05Z,34.43,13,8,2250,7001,11646,16303,0,0
2026-06-28T20:51:06Z,40.97,10,5,2070,7001,11646,16303,0,0
2026-06-28T20:51:06Z,41.66,0,1,1575,7001,11646,16303,0,0
2026-06-28T20:51:07Z,38.35,0,1,1530,7001,11646,16303,0,0
2026-06-28T20:51:07Z,33.94,0,1,600,7001,11646,16303,0,0
2026-06-28T20:51:08Z,33.94,1,1,660,7001,11646,16303,0,0
2026-06-28T20:51:08Z,33.83,0,1,412,7001,11646,16303,0,0
2026-06-28T20:51:09Z,34.85,5,2,1080,7001,11646,16303,0,0
2026-06-28T20:51:10Z,35.03,1,7,427,810,11646,16303,0,0
2026-06-28T20:51:10Z,27.93,1,11,330,810,11646,16303,0,0
2026-06-28T20:51:11Z,27.11,0,7,360,810,11646,16303,0,0
2026-06-28T20:51:11Z,26.69,1,8,382,810,11646,16303,0,0
2026-06-28T20:51:12Z,26.67,0,20,300,405,11646,16303,0,0
2026-06-28T20:51:12Z,26.32,1,17,352,405,11646,16303,0,0
2026-06-28T20:51:13Z,26.10,1,14,315,405,11646,16303,0,0
2026-06-28T20:51:14Z,26.22,2,17,307,405,11650,16303,0,0
2026-06-28T20:51:14Z,26.37,5,22,285,405,11693,16303,0,0
2026-06-28T20:51:15Z,26.76,2,20,360,405,11693,16303,0,0
2026-06-28T20:51:15Z,26.51,0,18,292,405,11693,16303,0,0
2026-06-28T20:51:16Z,26.37,2,19,375,405,11693,16303,0,0
2026-06-28T20:51:16Z,26.50,1,21,352,405,11689,16303,0,0
2026-06-28T20:51:17Z,26.38,1,14,315,405,11642,16303,0,0
2026-06-28T20:51:18Z,26.34,1,21,352,405,11642,16303,0,0
2026-06-28T20:51:18Z,26.55,1,14,292,405,11642,16303,0,0
2026-06-28T20:51:19Z,26.34,2,21,352,405,11642,16303,0,0
2026-06-28T20:51:19Z,26.43,1,18,330,405,11642,16303,0,0
2026-06-28T20:51:20Z,26.45,1,14,307,405,11533,16303,0,0
2026-06-28T20:51:21Z,26.43,3,22,420,405,11533,16303,0,0
2026-06-28T20:51:21Z,26.56,4,16,337,405,11533,16303,0,0
2026-06-28T20:51:22Z,26.55,2,20,375,405,11533,16303,0,0
2026-06-28T20:51:22Z,26.39,2,18,300,405,11533,16303,0,0
2026-06-28T20:51:23Z,26.30,0,20,330,405,11533,16303,0,0
2026-06-28T20:51:23Z,26.51,1,21,397,405,11533,16303,0,0
2026-06-28T20:51:24Z,26.75,2,21,360,405,11533,16303,0,0
2026-06-28T20:51:25Z,27.00,1,18,397,405,11533,16303,0,0
2026-06-28T20:51:25Z,26.85,2,15,397,405,11533,16303,0,0
2026-06-28T20:51:26Z,26.88,1,21,450,405,11533,16303,0,0
2026-06-28T20:51:26Z,27.25,5,16,367,405,11531,16303,0,0
2026-06-28T20:51:27Z,27.60,5,23,442,405,11531,16303,0,0
2026-06-28T20:51:27Z,28.14,1,17,420,405,11531,16303,0,0
2026-06-28T20:51:28Z,28.85,7,21,600,405,11531,16303,0,0
2026-06-28T20:51:29Z,27.71,4,18,390,405,11531,16303,0,0
2026-06-28T20:51:29Z,27.64,1,13,337,405,11533,16303,0,0
2026-06-28T20:51:30Z,28.75,11,17,757,405,11533,16303,0,0
2026-06-28T20:51:30Z,27.66,0,14,292,405,11533,16303,0,0
2026-06-28T20:51:31Z,26.62,2,22,315,405,11533,16303,0,0
2026-06-28T20:51:32Z,26.44,5,20,382,405,11533,16303,0,0
2026-06-28T20:51:32Z,26.41,1,14,307,405,11533,16303,0,0
2026-06-28T20:51:33Z,27.22,3,19,585,405,11533,16303,0,0
2026-06-28T20:51:33Z,27.31,3,21,405,405,11533,16303,0,0
2026-06-28T20:51:34Z,27.57,1,20,412,405,11531,16303,0,0
2026-06-28T20:51:35Z,27.90,3,18,465,405,11531,16303,0,0
2026-06-28T20:51:35Z,27.88,4,19,450,405,11531,16303,0,0
2026-06-28T20:51:36Z,28.73,9,21,802,405,11531,16303,0,0
2026-06-28T20:51:36Z,28.97,5,16,615,405,11531,16303,0,0
2026-06-28T20:51:37Z,27.23,0,14,322,405,11531,16303,0,0
2026-06-28T20:51:37Z,26.69,1,17,375,405,11531,16303,0,0
2026-06-28T20:51:38Z,26.81,3,22,367,405,11531,16303,0,0
2026-06-28T20:51:39Z,26.66,0,20,330,405,11531,16303,0,0
2026-06-28T20:51:39Z,26.85,3,22,457,405,11531,16303,0,0
2026-06-28T20:51:40Z,26.73,0,20,262,405,11531,16303,0,0
2026-06-28T20:51:40Z,26.18,1,20,315,405,11531,16303,0,0
2026-06-28T20:51:41Z,26.19,3,22,330,405,11531,16303,0,0
2026-06-28T20:51:41Z,26.63,0,18,405,405,11531,16303,0,0
2026-06-28T20:51:42Z,27.19,4,16,390,405,11531,16303,0,0
2026-06-28T20:51:43Z,27.18,3,22,360,405,11531,16303,0,0
